"tlg"	"date_lower_bound"	"date_upper_bound"	"author"	"title"	"genre"	"dialect"	"source"	"words"	"date_mean"
"0027-001"	-500	-301	"Andocides"	"De mysteriis"	"Oratory"	"Attic"	"Perseus"	11797	-400.5
"0027-002"	-500	-301	"Andocides"	"De reditu suo"	"Oratory"	"Attic"	"Perseus"	2208	-400.5
"0027-003"	-500	-301	"Andocides"	"De pace"	"Oratory"	"Attic"	"Perseus"	3077	-400.5
"0027-004"	-500	-301	"Andocides"	"In Alcibiadem"	"Oratory"	"Attic"	"Perseus"	3148	-400.5
"0239-003"	-500	-301	"Antimachus"	"Epigramma"	"Lyric poetry"	"Ionic/Epic"	"Perseus"	50	-400.5
"0591-001"	-500	-301	"Antisthenes"	"Declamationes"	"Oratory"	"Attic"	"First1K"	577	-400.5
"0591-002"	-500	-301	"Antisthenes"	"Fragmenta varia"	"Oratory"	"Attic"	"First1K"	1076	-400.5
"0019-001"	-500	-301	"Aristophanes"	"Acharnenses"	"Comedy"	"Attic"	"Perseus"	8795	-400.5
"0019-002"	-500	-301	"Aristophanes"	"Equites"	"Comedy"	"Attic"	"Perseus"	10732	-400.5
"0019-003"	-500	-301	"Aristophanes"	"Nubes"	"Comedy"	"Attic"	"Perseus"	11718	-400.5
"0019-004"	-500	-301	"Aristophanes"	"Vespae"	"Comedy"	"Attic"	"Perseus"	11883	-400.5
"0019-005"	-500	-301	"Aristophanes"	"Pax"	"Comedy"	"Attic"	"Perseus"	9717	-400.5
"0019-006"	-500	-301	"Aristophanes"	"Aves"	"Comedy"	"Attic"	"Perseus"	12894	-400.5
"0019-007"	-500	-301	"Aristophanes"	"Lysistrata"	"Comedy"	"Attic"	"Perseus"	9886	-400.5
"0019-008"	-500	-301	"Aristophanes"	"Thesmophoriazusae"	"Comedy"	"Attic"	"Perseus"	8856	-400.5
"0019-009"	-500	-301	"Aristophanes"	"Ranae"	"Comedy"	"Attic"	"Perseus"	11287	-400.5
"0019-010"	-500	-301	"Aristophanes"	"Ecclesiazusae"	"Comedy"	"Attic"	"Perseus"	9268	-400.5
"0019-011"	-500	-301	"Aristophanes"	"Plutus"	"Comedy"	"Attic"	"Perseus"	9673	-400.5
"0593-001"	-500	-301	"Gorgias"	"Testimonium"	"Oratory"	"Attic"	"First1K"	1499	-400.5
"0593-002"	-500	-301	"Gorgias"	"Testimonia"	"Oratory"	"Attic"	"First1K"	2895	-400.5
"0593-002"	-500	-301	"Gorgias"	"Testimonia"	"Oratory"	"Attic"	"First1K"	2895	-400.5
"0627-001"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De prisca medicina"	"Medicine"	"Ionic"	"First1K"	6499	-400.5
"0627-002"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De aëre aquis et locis"	"Medicine"	"Ionic"	"First1K"	8659	-400.5
"0627-003"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Prognosticon"	"Medicine"	"Ionic"	"First1K"	6087	-400.5
"0627-004"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De diaeta in morbis acutis"	"Medicine"	"Ionic"	"First1K"	7143	-400.5
"0627-005"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De diaeta acutorum"	"Medicine"	"Ionic"	"First1K"	6447	-400.5
"0627-006"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De morbis popularibus"	"Medicine"	"Ionic"	"First1K"	53855	-400.5
"0627-007"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De capitis vulneribus"	"Medicine"	"Ionic"	"First1K"	5821	-400.5
"0627-008"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De officina medici"	"Medicine"	"Ionic"	"First1K"	2819	-400.5
"0627-009"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De fracturis"	"Medicine"	"Ionic"	"First1K"	13226	-400.5
"0627-010"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De articulis"	"Medicine"	"Ionic"	"First1K"	25227	-400.5
"0627-011"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Vectiarius"	"Medicine"	"Ionic"	"First1K"	6295	-400.5
"0627-012"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Aphorismi"	"Medicine"	"Ionic"	"First1K"	8886	-400.5
"0627-013"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Jusjurandum"	"Medicine"	"Ionic"	"First1K"	297	-400.5
"0627-014"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Lex"	"Medicine"	"Ionic"	"First1K"	395	-400.5
"0627-015"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De humoribus"	"Medicine"	"Ionic"	"First1K"	2968	-400.5
"0627-016"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Prorrheticon"	"Medicine"	"Ionic"	"First1K"	12061	-400.5
"0627-017"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"Coa praesagia"	"Medicine"	"Ionic"	"First1K"	15206	-400.5
"0627-018"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De arte"	"Medicine"	"Ionic"	"First1K"	3139	-400.5
"0627-019"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De natura hominis"	"Medicine"	"Ionic"	"First1K"	4450	-400.5
"0627-020"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De diaeta salubri"	"Medicine"	"Ionic"	"First1K"	1645	-400.5
"0627-021"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De flatibus"	"Medicine"	"Ionic"	"First1K"	3302	-400.5
"0627-022"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De humidorum usu"	"Medicine"	"Ionic"	"First1K"	1865	-400.5
"0627-023"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De morbis i-iii"	"Medicine"	"Ionic"	"First1K"	41526	-400.5
"0627-024a"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De semine, de natura pueri, de morbis iv"	"Medicine"	"Ionic"	"First1K"	2234	-400.5
"0627-024b"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De semine, de natura pueri, de morbis iv"	"Medicine"	"Ionic"	"First1K"	8301	-400.5
"0627-025"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De affectionibus"	"Medicine"	"Ionic"	"First1K"	8734	-400.5
"0627-026"	-500	-301	"Hippocrates et Corpus Hippocraticum"	"De locis in homine"	"Medicine"	"Ionic"	"First1K"	9991	-400.5
