"TLG"	"chapter.verse"	"lemma"	"source"	"book"
"0527-001"	"1.1"	"ἐν"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"ἀρχή"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"ποιέω"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"ὁ"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"θεός"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"οὐρανός"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"καί"	"Septuaginta"	"Genesis"
"0527-001"	"1.1"	"γῆ"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"δέ"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"εἰμί"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ἀόρατος"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ἀκατασκεύαστος"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"σκότος"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ἐπάνω"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ἄβυσσος"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"πνεῦμα"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ἐπιφέρω"	"Septuaginta"	"Genesis"
"0527-001"	"1.2"	"ὕδωρ"	"Septuaginta"	"Genesis"
"0527-001"	"1.3"	"λέγω"	"Septuaginta"	"Genesis"
"0527-001"	"1.3"	"γίγνομαι"	"Septuaginta"	"Genesis"
"0527-001"	"1.3"	"φάος"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"ὁράω"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"ὅτι"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"καλός"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"διαχωρίζω"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"ἀνά"	"Septuaginta"	"Genesis"
"0527-001"	"1.4"	"μέσος"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"καλέω"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"ἡμέρα"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"νύξ"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"ἑσπέρα"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"πρωΐ"	"Septuaginta"	"Genesis"
"0527-001"	"1.5"	"εἷς"	"Septuaginta"	"Genesis"
"0527-001"	"1.6"	"στερέωμα"	"Septuaginta"	"Genesis"
"0527-001"	"1.6"	"οὕτως"	"Septuaginta"	"Genesis"
"0527-001"	"1.7"	"ὅς"	"Septuaginta"	"Genesis"
"0527-001"	"1.7"	"ὑποκάτω"	"Septuaginta"	"Genesis"
"0527-001"	"1.8"	"δεύτερος"	"Septuaginta"	"Genesis"
"0527-001"	"1.9"	"συνάγω"	"Septuaginta"	"Genesis"
"0527-001"	"1.9"	"εἰς"	"Septuaginta"	"Genesis"
"0527-001"	"1.9"	"συναγωγή"	"Septuaginta"	"Genesis"
"0527-001"	"1.9"	"ξηρός"	"Septuaginta"	"Genesis"
"0527-001"	"1.9"	"αὐτός"	"Septuaginta"	"Genesis"
"0527-001"	"1.10"	"σύστημα"	"Septuaginta"	"Genesis"
"0527-001"	"1.10"	"θάλασσα"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"βλαστάνω"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"βοτάνη"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"χόρτος"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"σπείρω"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"σπέρμα"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"κατά"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"γένος"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"ὁμοιότης"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"ξύλον"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"κάρπιμος"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"καρπός"	"Septuaginta"	"Genesis"
"0527-001"	"1.11"	"ἐπί"	"Septuaginta"	"Genesis"
"0527-001"	"1.12"	"ἐκφέρω"	"Septuaginta"	"Genesis"
"0527-001"	"1.13"	"τρίτος"	"Septuaginta"	"Genesis"
"0527-001"	"1.14"	"φωστήρ"	"Septuaginta"	"Genesis"
"0527-001"	"1.14"	"φαῦσις"	"Septuaginta"	"Genesis"
"0527-001"	"1.14"	"σημεῖον"	"Septuaginta"	"Genesis"
"0527-001"	"1.14"	"καιρός"	"Septuaginta"	"Genesis"
"0527-001"	"1.14"	"ἐνιαυτός"	"Septuaginta"	"Genesis"
"0527-001"	"1.15"	"ὥστε"	"Septuaginta"	"Genesis"
"0527-001"	"1.15"	"φαίνω"	"Septuaginta"	"Genesis"
"0527-001"	"1.16"	"δύο"	"Septuaginta"	"Genesis"
"0527-001"	"1.16"	"μέγας"	"Septuaginta"	"Genesis"
"0527-001"	"1.16"	"ἐλαχύς"	"Septuaginta"	"Genesis"
"0527-001"	"1.16"	"ἀστήρ"	"Septuaginta"	"Genesis"
"0527-001"	"1.17"	"τίθημι"	"Septuaginta"	"Genesis"
"0527-001"	"1.18"	"ἄρχω"	"Septuaginta"	"Genesis"
"0527-001"	"1.19"	"τέταρτος"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"ἐξάγω"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"ἑρπετόν"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"ψυχή"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"ζάω"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"πετεινόν"	"Septuaginta"	"Genesis"
"0527-001"	"1.20"	"πέτομαι"	"Septuaginta"	"Genesis"
"0527-001"	"1.21"	"κῆτος"	"Septuaginta"	"Genesis"
"0527-001"	"1.21"	"πᾶς"	"Septuaginta"	"Genesis"
"0527-001"	"1.21"	"ζῷον"	"Septuaginta"	"Genesis"
"0527-001"	"1.21"	"ἑρπετός"	"Septuaginta"	"Genesis"
"0527-001"	"1.21"	"πτερωτός"	"Septuaginta"	"Genesis"
"0527-001"	"1.22"	"εὐλογέω"	"Septuaginta"	"Genesis"
"0527-001"	"1.22"	"αὐξάνω"	"Septuaginta"	"Genesis"
"0527-001"	"1.22"	"πληθύνω"	"Septuaginta"	"Genesis"
"0527-001"	"1.22"	"πληρόω"	"Septuaginta"	"Genesis"
"0527-001"	"1.23"	"πέμπτος"	"Septuaginta"	"Genesis"
"0527-001"	"1.24"	"τετράπους"	"Septuaginta"	"Genesis"
"0527-001"	"1.24"	"θηρίον"	"Septuaginta"	"Genesis"
"0527-001"	"1.25"	"κτῆνος"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"ἄνθρωπος"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"εἰκών"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"ἡμέτερος"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"ὁμοίωσις"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"ἰχθῦς"	"Septuaginta"	"Genesis"
"0527-001"	"1.26"	"ἕρπω"	"Septuaginta"	"Genesis"
"0527-001"	"1.27"	"ἄρσην"	"Septuaginta"	"Genesis"
"0527-001"	"1.27"	"θῆλυς"	"Septuaginta"	"Genesis"
"0527-001"	"1.28"	"κατακυριεύω"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"ἰδού"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"δίδωμι"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"σύ"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"σπόριμος"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"ἔχω"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"ἑαυτοῦ"	"Septuaginta"	"Genesis"
"0527-001"	"1.29"	"βρῶσις"	"Septuaginta"	"Genesis"
"0527-001"	"1.30"	"ζωή"	"Septuaginta"	"Genesis"
"0527-001"	"1.30"	"χλωρός"	"Septuaginta"	"Genesis"
"0527-001"	"1.31"	"ὅσος"	"Septuaginta"	"Genesis"
"0527-001"	"1.31"	"λίαν"	"Septuaginta"	"Genesis"
"0527-001"	"1.31"	"ἕκτος"	"Septuaginta"	"Genesis"
"0527-001"	"2.1"	"συντελέω"	"Septuaginta"	"Genesis"
"0527-001"	"2.1"	"κόσμος"	"Septuaginta"	"Genesis"
"0527-001"	"2.2"	"ἔργον"	"Septuaginta"	"Genesis"
"0527-001"	"2.2"	"καταπαύω"	"Septuaginta"	"Genesis"
"0527-001"	"2.2"	"ἕβδομος"	"Septuaginta"	"Genesis"
"0527-001"	"2.2"	"ἀπό"	"Septuaginta"	"Genesis"
"0527-001"	"2.3"	"ἁγιάζω"	"Septuaginta"	"Genesis"
"0527-001"	"2.4"	"οὗτος"	"Septuaginta"	"Genesis"
"0527-001"	"2.4"	"βίβλος"	"Septuaginta"	"Genesis"
"0527-001"	"2.4"	"γένεσις"	"Septuaginta"	"Genesis"
"0527-001"	"2.4"	"ὅτε"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"ἀγρός"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"πρό"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"ἀνατέλλω"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"οὐ"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"γάρ"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"βρέχω"	"Septuaginta"	"Genesis"
"0527-001"	"2.5"	"ἐργάζομαι"	"Septuaginta"	"Genesis"
"0527-001"	"2.6"	"πηγή"	"Septuaginta"	"Genesis"
"0527-001"	"2.6"	"ἀναβαίνω"	"Septuaginta"	"Genesis"
"0527-001"	"2.6"	"ἐκ"	"Septuaginta"	"Genesis"
"0527-001"	"2.6"	"ποτίζω"	"Septuaginta"	"Genesis"
"0527-001"	"2.6"	"πρόσωπον"	"Septuaginta"	"Genesis"
"0527-001"	"2.7"	"πλάσσω"	"Septuaginta"	"Genesis"
"0527-001"	"2.7"	"χοῦς"	"Septuaginta"	"Genesis"
"0527-001"	"2.7"	"ἐμφυσάω"	"Septuaginta"	"Genesis"
"0527-001"	"2.7"	"πνοή"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"φυτεύω"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"κύριος"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"παράδεισος"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"Ἐδέμ"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"ἀνατολή"	"Septuaginta"	"Genesis"
"0527-001"	"2.8"	"ἐκεῖ"	"Septuaginta"	"Genesis"
"0527-001"	"2.9"	"ἐξανατέλλω"	"Septuaginta"	"Genesis"
"0527-001"	"2.9"	"ἔτι"	"Septuaginta"	"Genesis"
"0527-001"	"2.9"	"ὡραῖος"	"Septuaginta"	"Genesis"
