"term"	"term_count"	"x"	"group"	"included"
"ὁ"	2231040	1	"lxx-nt"	TRUE
"καί"	934159	2	"lxx-nt"	TRUE
"δέ"	539550	3	"lxx-nt"	TRUE
"εἰμί"	289022	4	"lxx-nt"	TRUE
"αὐτός"	276869	5	"lxx-nt"	TRUE
"οὐ"	212173	6	"lxx-nt"	TRUE
"οὗτος"	206879	7	"lxx-nt"	TRUE
"μέν"	185126	8	"lxx-nt"	TRUE
"ἐν"	177423	9	"lxx-nt"	TRUE
"τε"	159134	10	"lxx-nt"	TRUE
"γάρ"	144662	11	"lxx-nt"	TRUE
"ὅς"	137174	12	"lxx-nt"	TRUE
"λέγω"	119909	13	"lxx-nt"	TRUE
"τις"	117017	14	"lxx-nt"	TRUE
"εἰς"	112933	15	"lxx-nt"	TRUE
"ἐπί"	108505	16	"lxx-nt"	TRUE
"ἐγώ"	104263	17	"lxx-nt"	TRUE
"κατά"	103255	18	"lxx-nt"	TRUE
"πρός"	98124	19	"lxx-nt"	TRUE
"μή"	95146	20	"lxx-nt"	TRUE
"ἤ"	94984	21	"lxx-nt"	TRUE
"ὡς"	93930	22	"lxx-nt"	TRUE
"γίγνομαι"	88206	23	"lxx-nt"	TRUE
"ἀλλά"	86666	24	"lxx-nt"	TRUE
"πᾶς"	82753	25	"lxx-nt"	TRUE
"ἔχω"	79955	26	"lxx-nt"	TRUE
"πολύς"	79437	27	"lxx-nt"	TRUE
"ἐκ"	78926	28	"lxx-nt"	TRUE
"διά"	77204	29	"lxx-nt"	TRUE
"περί"	70440	30	"lxx-nt"	TRUE
"εἰ"	69090	31	"lxx-nt"	TRUE
"σύ"	68569	32	"lxx-nt"	TRUE
"ἄλλος"	63852	33	"lxx-nt"	TRUE
"ἄν"	62467	34	"lxx-nt"	TRUE
"ὅτι"	56367	35	"lxx-nt"	TRUE
"οὖν"	53283	36	"lxx-nt"	TRUE
"ποιέω"	51428	37	"lxx-nt"	TRUE
