"cluster_id"	"lemma"	"intracluster_fit_percentage"
1	"διηνεκής"	100
1	"ἐπακολουθέω"	99.5
1	"ἀποτρέπω"	99.1
1	"διελέγχω"	98.6
1	"παρακολουθέω"	98.2
1	"ἀδυνατέω"	97.7
1	"παραφέρω"	97.2
1	"ὑποδείκνυμι"	96.8
1	"ἐφέλκω"	96.3
1	"ἀπορρίπτω"	95.9
1	"περιπλέκω"	95.4
1	"ἐπιλανθάνω"	95
1	"παράγω"	94.5
1	"παρατρέχω"	94
1	"καταπίπτω"	93.6
1	"ὀνειδίζω"	93.1
1	"παραμυθέομαι"	92.7
1	"ἀναπείθω"	92.2
1	"φιλοτιμέομαι"	91.7
1	"ὑποπίπτω"	91.3
1	"ἐνεδρεύω"	90.8
1	"ἐκβαίνω"	90.4
1	"ὑποβάλλω"	89.9
1	"ὑπερβαίνω"	89.4
1	"περιφέρω"	89
1	"σοφίζω"	88.5
1	"ἀπολέγω"	88.1
1	"ἐπίνοια"	87.6
1	"προφέρω"	87.2
1	"ὑποφέρω"	86.7
1	"προθυμέομαι"	86.2
1	"ἐκλανθάνω"	85.8
1	"αὐτόθεν"	85.3
1	"περιάγω"	84.9
1	"πέλας"	84.4
1	"ἀίσσω"	83.9
1	"δικαιόω"	83.5
1	"ἀποσπάω"	83
1	"ὑποπτεύω"	82.6
1	"μετατίθημι"	82.1
1	"μετάγω"	81.7
1	"ἐπιτρέχω"	81.2
1	"θηρεύω"	80.7
1	"ἀνακαλέω"	80.3
1	"εἰσδέχομαι"	79.8
1	"ἄντικρυς"	79.4
1	"μετακινέω"	78.9
1	"εἰσάγω"	78.4
1	"ἀνατρέχω"	78
1	"διαφθορά"	77.5
1	"ὑφαιρέω"	77.1
1	"διαρρέω"	76.6
1	"ὑπονοέω"	76.1
1	"περιέρχομαι"	75.7
1	"προφανής"	75.2
1	"ἀλαζονεία"	74.8
1	"ἡττάω"	74.3
1	"περιστρέφω"	73.9
1	"προσρέπω"	73.4
1	"μεθίστημι"	72.9
1	"ἐξωθέω"	72.5
1	"νήχω"	72
1	"σιωπάω"	71.6
1	"παραδέχομαι"	71.1
1	"ἐπανορθόω"	70.6
1	"εὔκολος"	70.2
1	"καλοκἀγαθία"	69.7
1	"μελετάω"	69.3
1	"ἀπορρήγνυμι"	68.8
1	"κλῆσις"	68.3
1	"ἀποδημέω"	67.9
1	"κατακτείνω"	67.4
1	"ἀπειθέω"	67
1	"ἀναπληρόω"	66.5
1	"ἐμποδίζω"	66.1
1	"προτρέπω"	65.6
1	"ἐπιλανθάνομαι"	65.1
1	"ὡσανεί"	64.7
1	"προφητεία"	64.2
1	"δουλόω"	63.8
1	"ζηλωτής"	63.3
1	"ἐκποιέω"	62.8
1	"ἐκπληρόω"	62.4
1	"παραλύω"	61.9
1	"Ἡρῴδης"	61.5
1	"ἐμφανής"	61
1	"ἀποφεύγω"	60.6
1	"ἀπάτη"	60.1
1	"ἐρημία"	59.6
1	"εἰκῇ"	59.2
1	"ἀτυχέω"	58.7
1	"σιγάω"	58.3
1	"διακρίνω"	57.8
1	"καταψεύδομαι"	57.3
1	"μεταφέρω"	56.9
1	"οἰκονομέω"	56.4
1	"καταγωνίζομαι"	56
1	"φλυαρέω"	55.5
1	"πλάνη"	55
1	"ἄβατος"	54.6
1	"συγκρίνω"	54.1
1	"ἀπειλέω"	53.7
1	"προστρέχω"	53.2
1	"βούλημα"	52.8
1	"βασιλίς"	52.3
1	"ἐξομοιόω"	51.8
1	"ἀπαγορεύω"	51.4
1	"ἅλμη"	50.9
1	"προσφωνέω"	50.5
1	"πλανάω"	50
1	"κακουργία"	49.5
1	"βλασφημέω"	49.1
1	"ἀποπνίγω"	48.6
1	"ἀναλογίζομαι"	48.2
1	"ἀπειλή"	47.7
1	"ἀκέραιος"	47.2
1	"μεταλλάσσω"	46.8
1	"πλουτέω"	46.3
1	"συλλαμβάνω"	45.9
1	"ὁδεύω"	45.4
1	"ἐπαγγελία"	45
1	"σωφρονέω"	44.5
1	"περιρρέω"	44
1	"καταπίνω"	43.6
1	"ἐμβιβάζω"	43.1
1	"συναινέω"	42.7
1	"μάτην"	42.2
1	"ἐπαμύνω"	41.7
1	"πολλαχόθεν"	41.3
1	"εὐχερής"	40.8
1	"συνομολογέω"	40.4
1	"ἐναρμόζω"	39.9
1	"περιαιρέω"	39.4
1	"Ἀρίσταρχος"	39
1	"ἐπιφωνέω"	38.5
1	"ἀπέχθομαι"	38.1
1	"καταχράομαι"	37.6
1	"ἴχνος"	37.2
1	"ἀποτρέχω"	36.7
1	"σαθρός"	36.2
1	"μερισμός"	35.8
1	"δεσπόζω"	35.3
1	"ἀνακράζω"	34.9
1	"πηρόω"	34.4
1	"ὀξύνω"	33.9
1	"συνεξέρχομαι"	33.5
1	"θρασύνω"	33
