"cluster_id"	"size"	"medoid"	"medoid_index"	"avg_intracluster_fit"
1	219	"διηνεκής"	7579	50
2	208	"προετοιμάζω"	3122	50
3	204	"πιαίνω"	6157	50
4	197	"ἀποψύχω"	5600	50
5	175	"ἀνεγείρω"	5625	50
6	169	"συντυγχάνω"	7396	50
7	165	"διαφλέγω"	732	50
8	162	"καταβιβάζω"	4872	50
9	155	"ἀνυπέρθετος"	3076	50
10	147	"πανηγυρίζω"	4690	50
11	144	"Ἀρεοπαγίτης"	3793	50
12	144	"ἀναλύω"	7947	50
13	140	"ἀμάρτυρος"	3751	50
14	138	"ὠμόλινον"	3272	50
15	136	"μετάβολος"	800	50
16	136	"σκυθρωπός"	7279	50
17	129	"πλεονασμός"	5615	50
18	127	"μεσιτεύω"	2445	50
19	127	"ὀρθόω"	6582	50
20	124	"ἀναθάλλω"	2868	50
21	124	"παρακάθημαι"	5222	50
22	122	"ἐπιτέμνω"	5426	50
23	121	"παραιτέομαι"	8918	50
24	117	"σκοτάω"	1594	50
25	115	"περικυκλόω"	3779	50
26	115	"ἀντίπαλος"	8246	50
27	114	"βασίλειον"	8191	50
28	113	"ἐκθαμβέω"	965	50
29	113	"αἰτιάομαι"	9429	50
30	110	"παρατυγχάνω"	7173	50
31	109	"ἐλάττωσις"	4797	50
32	107	"χορεύω"	6766	50
33	107	"οἰκειόω"	7479	50
34	104	"ἐπιπέμπω"	7616	50
35	103	"ἐπονομάζω"	8009	50
36	101	"εὔθραυστος"	1707	50
37	101	"ἐξοπλίζω"	5086	50
38	98	"παρανομέω"	7913	50
39	97	"φαρμακός"	3593	50
40	96	"ἐξουθενόω"	205	50
41	95	"γεμίζω"	4927	50
42	95	"ἀπομάσσω"	5787	50
43	94	"καταδαπανάω"	2819	50
44	92	"καταξιόω"	5812	50
45	91	"φλύαρος"	4312	50
46	90	"κατάγελως"	3103	50
47	89	"ἐκλύω"	8907	50
48	86	"τότε"	10549	50
49	85	"ἀκολασία"	7763	50
50	83	"περιεργία"	5895	50
51	80	"τοπαρχία"	3132	50
52	79	"νεωστί"	7546	50
53	76	"ἐνειλέω"	3613	50
54	76	"προΐστημι"	9197	50
55	75	"μετακαλέω"	5699	50
56	75	"γάρ"	10668	50
57	74	"συντροχάζω"	843	50
58	74	"παραπέμπω"	8372	50
59	73	"ἀναποδίζω"	3003	50
60	73	"πτοέω"	6836	50
61	72	"Ἀπελλῆς"	5181	50
62	69	"καρποφορέω"	6294	50
63	69	"οἴομαι"	10550	50
64	66	"θηριόω"	2079	50
65	66	"ἀναδείκνυμι"	7239	50
66	66	"δράκων"	8878	50
67	65	"νοθεύω"	3864	50
68	64	"τρίχωμα"	4396	50
69	63	"ὁπηνίκα"	6427	50
70	63	"ἀπαντάω"	9767	50
71	62	"δικαιολογία"	4531	50
72	59	"Τωβίας"	4363	50
73	59	"ἐμφαίνω"	9276	50
74	58	"Λίβυς"	8223	50
75	56	"ἐντρέπω"	6477	50
76	56	"Γάζα"	5467	50
77	55	"βροτός"	8234	50
78	55	"διό"	10432	50
79	54	"συναπόλλυμι"	6143	50
80	53	"Φιλοπάτωρ"	3747	50
81	53	"οἰκίζω"	8401	50
82	53	"τείνω"	9531	50
83	52	"συγγνωστός"	4307	50
84	52	"ἐπιεικής"	9528	50
85	51	"ὁλόκληρος"	7774	50
86	50	"καταφέρω"	9134	50
87	50	"ἀπολείπω"	10160	50
88	50	"τοιγαροῦν"	8763	50
89	49	"μηνύω"	9213	50
90	48	"ὑποτίθημι"	9610	50
91	47	"κίων"	8010	50
92	47	"Ῥεβέκκα"	5368	50
93	47	"θεραπεύω"	10152	50
94	46	"νουθέτησις"	3478	50
95	46	"κακοῦργος"	6970	50
96	46	"ἀκόλουθος"	9547	50
97	45	"Ἔφεσος"	7956	50
98	44	"φονεύω"	9122	50
99	44	"λαός"	10300	50
100	43	"φαντάζω"	7801	50
101	42	"κιχράω"	2205	50
102	41	"προτιμάω"	8006	50
103	40	"ὄγδοος"	8891	50
104	40	"ἀδίκημα"	9100	50
105	40	"οὐρά"	8600	50
106	40	"ἀμφότερος"	10459	50
107	39	"καταβάλλω"	9339	50
108	39	"συλλέγω"	9346	50
109	38	"ἐξανίστημι"	8258	50
110	37	"λεαίνω"	8064	50
111	37	"αὐξάνω"	10182	50
112	36	"νηστεύω"	6205	50
113	36	"μάχομαι"	10117	50
114	35	"πόα"	8642	50
115	35	"νεανίσκος"	9507	50
116	35	"μεταπέμπω"	9047	50
117	34	"ὑπισχνέομαι"	9495	50
118	33	"ποτός"	8879	50
119	33	"πολίτης"	10253	50
120	33	"θαυμαστός"	10065	50
121	30	"δῆγμα"	7372	50
122	30	"ἐπιτελέω"	9440	50
123	30	"εἴκοσι"	10021	50
124	30	"ἱερόν"	9374	50
125	30	"βοῦς"	10012	50
126	29	"λίβανος"	8460	50
127	28	"διάνοια"	10130	50
128	28	"ἀποκλείω"	8487	50
129	28	"ἰδέα"	9875	50
130	26	"ἐγχέω"	8222	50
131	26	"πῶς"	10529	50
132	25	"φώς"	9411	50
133	25	"φιλανθρωπία"	8643	50
134	25	"σίδηρος"	9356	50
135	23	"ἁμάρτημα"	9618	50
136	22	"πλήσσω"	9519	50
137	22	"ἐπιγίγνομαι"	9660	50
138	21	"ἀπέναντι"	6238	50
139	20	"πλάτος"	9693	50
140	20	"φθέγγομαι"	9415	50
141	20	"σκάφος"	8463	50
142	19	"ὥρα"	10348	50
143	19	"σπλάγχνον"	9416	50
144	18	"τρισχίλιοι"	8833	50
145	18	"πλησίον"	10115	50
146	17	"κρέας"	9457	50
147	17	"παιδίον"	10025	50
148	17	"ἄρα"	10578	50
149	16	"Γάϊος"	8140	50
150	16	"νομοθετέω"	8812	50
151	14	"προφήτης"	10101	50
152	13	"Ζαβουλών"	4730	50
153	13	"νότος"	8750	50
154	11	"ἐφάπτω"	8760	50
155	8	"θερμαίνω"	9965	50
