"lemma"	"cluster_id"	"cluster_size"	"intracluster_fit_percentage"
"ἆ"	67	65	4.7
"Ἀαρών"	99	44	30.2
"ἀάω"	25	115	35.1
"ἀβαρής"	9	155	44.8
"ἀβασίλευτος"	79	54	98.1
"ἄβατος"	1	219	54.6
"ἀββᾶ"	21	124	0.8
"Ἀβδεδόμ"	15	136	85.9
"Αβδεναγω"	11	144	97.9
"Ἀβδεναγώ"	14	138	14.6
"Ἀβδίας"	37	101	20
"Ἀβδιού"	24	117	69
"Ἀβδών"	28	113	40.2
"Ἀβεδδαρά"	34	104	10.7
"Ἀβειρών"	28	113	97.3
"Ἄβελ"	58	74	2.7
"Ἀβεννήρ"	72	59	89.7
"Ἀβεσσά"	72	59	25.9
"Ἀβεσσαλώμ"	72	59	43.1
"Ἀβιά"	72	59	27.6
"Ἀβία"	21	124	57.7
"Ἀβιάθαρ"	68	64	69.8
"Ἀβιγαία"	2	208	36.7
"Ἀβιγαίας"	28	113	25.9
"Ἀβιδάν"	40	96	20
"Ἀβιέζερ"	15	136	34.8
"Ἀβιμέλεχ"	92	47	91.3
"Ἀβιοῦς"	15	136	29.6
"Ἀβισάγ"	24	117	43.1
"ἀβλαβής"	33	107	77.4
"ἀβοήθητος"	33	107	54.7
"Ἄβος"	57	74	83.6
"ἀβουλία"	4	197	44.4
"ἅβρα"	41	95	83
"Αβρααμ"	2	208	39.6
"Ἀβραάμ"	92	47	4.3
"Ἁβραάμ"	92	47	32.6
"Ἅβραμ"	69	63	80.6
"ἀβροχία"	13	140	20.9
"ἄβρωτος"	4	197	95.9
"ἄβυσσος"	12	144	9.1
"Ἀγάγ"	13	140	61.9
"ἀγαγόω"	69	63	16.1
"ἀγαθοεργέω"	67	65	35.9
"ἀγαθοποιέω"	34	104	16.5
"ἀγαθοποιία"	20	124	57.7
"ἀγαθοποιός"	34	104	36.9
"ἀγαθός"	63	69	41.2
"ἀγαθότης"	35	103	22.5
"ἀγαθόω"	67	65	51.6
"ἀγαθύνω"	39	97	79.2
"ἀγαθωσύνη"	35	103	21.6
"ἀγαλλίαμα"	2	208	3.9
"ἀγαλλίασις"	25	115	2.6
"ἀγαλλιάω"	29	113	0
"ἄγαλμα"	124	30	65.5
"ἄγαμος"	38	98	5.2
"ἄγαν"	84	52	43.1
"ἀγανακτέω"	29	113	83
"ἀγανάκτησις"	71	62	85.2
"ἀγαπάζω"	4	197	58.7
"ἀγαπάω"	29	113	25
"ἀγάπη"	133	25	4.2
"ἀγάπησις"	41	95	78.7
"ἀγαπητός"	42	95	91.5
"Ἄγαρ"	69	63	33.9
"Ἀγγαί"	36	101	3
"Ἀγγαῖος"	72	59	36.2
"ἀγγαρεύω"	13	140	62.6
"ἀγγεῖον"	143	19	22.2
"ἀγγελία"	61	72	46.5
"ἀγγέλλω"	70	63	45.2
"ἄγγελος"	116	35	17.6
"ἄγγος"	12	144	17.5
"ἄγε"	70	63	0
"ἀγείρω"	108	39	73.7
"ἀγελαῖος"	66	66	67.7
"ἀγέλη"	125	30	75.9
"ἀγεληδόν"	46	90	79.8
"ἀγενής"	18	127	85.7
"ἀγερωχία"	14	138	55.5
"ἀγέρωχος"	42	95	96.8
"ἁγιάζω"	99	44	86
"ἁγίασμα"	65	66	89.2
"ἁγιασμός"	4	197	13.3
"ἁγιαστήριον"	9	155	35.7
"ἅγιος"	99	44	72.1
"ἁγιότης"	14	138	17.5
"ἁγιστεία"	5	175	52.3
"ἁγιωσύνη"	11	144	21.7
"ἀγκάλη"	6	169	23.8
"ἄγκιστρον"	66	66	30.8
"ἀγκύλη"	3	204	47.3
"ἄγκυρα"	136	22	9.5
"ἀγκών"	82	53	7.7
"ἁγνεία"	6	169	79.2
"ἁγνίζω"	65	66	36.9
"ἁγνισμός"	76	56	69.1
"ἀγνοέω"	63	69	72.1
"ἀγνόημα"	25	115	94.7
"ἄγνοια"	49	85	76.2
"ἄγνος"	17	129	82.8
"ἁγνός"	33	107	9.4
"ἁγνότης"	25	115	78.1
"ἀγνωσία"	10	147	21.9
"ἄγνωστος"	30	110	55
"ἄγονος"	16	136	34.8
"ἀγορά"	124	30	37.9
"ἀγοράζω"	117	34	3
"ἀγοραῖος"	44	92	86.8
